GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,Wealth - Top 80%,16.4,16.4 [14.9-18.0],14.9,18
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,2000,2000,2000,SEAR,South-East Asia,MMR,Myanmar,,,,312,312,,
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2000,2000,2000,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,40.8,40.8 [39.1-42.6],39.1,42.6
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1978,1978,1978,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,50319,50 319 [43 279-58 554],43279,58554
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2020,2020,2020,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,960,960 [512-1656],512,1656
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2014,2014,2014,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,615.5092618,616,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2021,2021,2021,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,2.429843758,2.4 [0.4-6.9],0.411938246,6.908320486
NCD_BMI_PLUS1C,"Overweight among children and adolescents, BMI-for-age > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,8.2477629,8.2 [3.9-14.3],3.9032724,14.334884
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-diabetes-treatment-age-standardized,1998,1998,1998,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,5.9968516,6.0 [4.0-8.4],4.0171809,8.3947502
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-proportion,2014,2014,2014,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,81.7,81.7 [69.9 - 90.7],69.9,90.7
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,2000,2000,2000,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,76473,76 473 [70 468-83 167],70468,83167
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2005,2005,2005,SEAR,South-East Asia,MMR,Myanmar,,,,19776,19 776,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-unintentional-poisoning-%28per-100-000-population%29,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,0.767533202,0.8 [0.3-1.4],0.295871294,1.438657989
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-overweight-prevalence,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,1.3,1.3 [0.3-5.4],0.3,5.4
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2014,2014,2014,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,4.03029,4,,
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,16.422227,16.4 [10.6-23.1],10.627123,23.096922
NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-total-cholesterol-%28age-standardized-estimate%29,1998,1998,1998,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,4.5,4.5 [4.2-4.9],4.2,4.9
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,3384.28563,3384.3,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-hale-healthy-life-expectancy-at-age-60,2005,2005,2005,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,10.9553979,11.0 [10.5-11.4],10.53751715,11.42181093
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2002,2002,2002,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,9328.63938,9328.6,,
TOBACCO_MPOWER_W1A_CIGARETTES,Tobacco Warning: W1a cigarette packaging health warnings,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w1a-cigarette-packaging-health-warnings,2024,2024,2024,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W4_pc_back_A,Percentage of principal display area mandated to be covered by health warnings - back of cigarette packaging,75,75,,
